,제목,장르,년도,줄거리,평점
0,더 메뉴,"공포, 스릴러, 코미디",(2022),"커플인 마고와 타일러는 까다롭기로 유명한 셰프, 슬로윅의 초청을 받아 어느 외딴섬 레스토랑의 저녁 식사에 참석하게 된다. 평소 슬로윅을 존경해왔던 타일러는 들뜬 마음으로 여러 유명인사들과 함께 섬으로 출발하는 배에 탑승한다. 레스토랑에 도착한 손님들은 슬로윅의 화려한 환대에 탄성을 자아낸다. 하지만 ‘음식은 또 다른 예술’이라는 슬로윅의 기괴한 집착에, 좋았던 분위기는 점차 이상한 방향으로 흐른다. 뭔가 심상치 않음을 감지한 마고는 이의를 제기하려 하지만, 이미 슬로윅의 음식에 푹 빠져버린 타일러에게 그녀의 제안은 안중에도 없다. 그런 와중에 슬로윅의 기괴한 집착은 점점 선을 넘기 시작하는데...",7.2 (251k)
1,범죄도시 2,"액션, 범죄, 스릴러",(2022),"가리봉동 소탕작전으로부터 4년이 지난 2008년, 금천경찰서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다. 그렇게 현지를 물색하던 마석도와 전일만은 용의자에게 미심쩍음을 느껴 추궁한 끝에, 악랄한 강해상의 존재를 알게 된다. 두 형사는 수사권이 없는 상황에도 한국과 베트남을 오가며 역대급 범죄를 저지르는 그를 잡겠다는 일념 하나로 호찌민 이곳저곳을 거침없이 누빈다.",7.0 (6k)
2,나이트메어 앨리,"드라마, 스릴러, 범죄, 액션, 판타지, 공포",(2021),"성공에 목마르고 욕망으로 가득 찬 스탠턴은 절박한 상황에서 유랑극단에서 만난 독심술사 지나를 이용하여 사람의 마음을 간파하는 기술을 터득한다. 수려한 외모, 현란한 화술, 마음을 현혹시키는 능력으로 뉴욕 상류층 상대로 부를 손에 쥐게 된 스탠턴. 채워지지 않는 그의 위험한 욕망을 꿰뚫어 본 심리학자 릴리스 박사는 뉴욕에서 가장 위험한 거물을 그에게 소개해 주는데…",7.0 (148k)
3,노매드랜드,드라마,(2021),"경제적 붕괴로 도시 전체가 무너진 후 홀로 남겨진 펀. 추억이 깃든 도시를 떠나 작은 밴과 함께 한 번도 가보지 않은 낯선 길 위의 세상으로 떠난다. 그곳에서 펀은 각자의 사연을 가진 노매드들을 만나게 되고, 광활한 자연과 길 위에서의 삶을 스스로 선택한 그들과 만나고 헤어지며 다시 살아가기 위한 여정을 시작하는데…",7.3 (164k)
4,조조 래빗,"드라마, 코미디, 전쟁, Made in Europe",(2019),"전쟁이 막바지에 접어든 1940년대 독일, 엄마 로지와 단둘이 살고 있는 10살 소년 조조는 독일 소년단에 입단한다. 상상 속 친구 히틀러의 응원에 힘입어 소년단 생활을 시작한 조조는 나약한 모습으로 단원 사이에서 놀림거리가 되고 만다. 설상가상으로 조조는 수류탄 사고까지 일으키며 얼굴과 다리에 부상을 입는다. 그렇게 히틀러의 멋진 경호원이 되겠다는 부푼 꿈이 물거품으로 돌아갈 때쯤, 조조는 자신의 집 벽장 안에 숨어 지내던 유대인 소녀 엘사와 마주치게 되는데...",7.9 (401k)
5,엔칸토 할리우드 볼,"음악, 가족",(2022),"월트 디즈니 애니메이션 스튜디오의 '엔칸토 할리우드 볼'의 성우가 카사 마드리갈로 돌아온다. 스테파니 베아트리스, 어대사, 캐롤라이나 가이탄, 제시카 대로, 다이앤 게레로, 마우로 카스티요, 앤지 세페다, 올가 메레다이즈가 콜롬비아의 카를로스 비베스 등의 특별 게스트와 출연하는 이 라이브를 영화화한 콘서트는 '엔칸토 할리우드 볼'의 세계, 캐릭터, 노래를 기념한다.",7.5
6,프렌치 디스패치,"코미디, 드라마, 다큐멘터리, 로맨스",(2021),"프랑스 앙뉘에서 발간되는 미국 잡지 프렌치 디스패치의 편집장 아서 하위처 주니어(빌 머리)가 갑자기 사망한다. 발행인의 부고는 곧잡지의 부고이기도 해서, 프렌디 디스패치의 최정예 저널리스트들은 마지막 발행본에 실을 특종 기사를 고민한다. 허브세인트 새저랙 (오언 윌슨), J. K. L. 베렌슨(틸다 스윈튼), 루신다 크레멘츠(프랜시스 맥도먼드), 로벅 라이트(제프리 라이트)는 각자 도시와 예술, 정치와 푸드 섹션을 맡아 피날레를 장식할 호의 기사를 쓴다. 살인죄로 수감된 천재 화가의 작품은 영악한 미술상에 의해 그 가치가 엄청나게 뛰게 되고, 기성세대에 저항하는 프랑스 청년들의 변혁 운동은 기성세대가 선언문을 고쳐준다는 아이러니를 마주하고, 해외파 기자는 프랑스의 외국인 노동자 셰프의 감정을 이해한다.",7.3 (81k)
7,프레이,"스릴러, 액션, SF, 드라마, 공포",(2022),"300년 전 아메리카, 용맹한 전사를 꿈꾸는 원주민 소녀 나루는 갑작스러운 곰의 습격으로 절체절명의 위기에 놓인 순간, 정체를 알 수 없는 외계 포식자 프레데터를 목격하게 된다. 자신보다 강한 상대를 향한 무자비한 사냥을 시작한 프레데터. 최첨단 기술과 무기로 진화된 외계 포식자 프레데터의 위협이 점점 다가오고 나루는 부족을 지키기 위해 자신만의 기지와 무기로 생존을 건 사투를 시작하는데…",7.1 (200k)
8,스파이더맨: 파 프롬 홈,"SF, 코미디, 액션",(2019),"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리의 부름을 받게 된 피터는 미스테리오라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ에게 멋지게 고백할 계획이 우선인데...",7.4 (504k)
9,라스트 듀얼: 최후의 결투,"역사, 액션, 드라마, 다큐멘터리, 스릴러",(2021),"부조리한 권력과 야만의 시대, 14세기 프랑스. 장(맷 데이먼)은 영주 피에르(벤 애플렉)의 총애를 받는 자크(애덤 드라이버)에게 불만을 품고 있다. 그러다 피에르에 의해 마르그리트(조디 코머)의 결혼 지참금인 토지를 자크에게 빼앗기게 되자 자크에 대한 적대감이 극에 달한다. 한편 마르그리트에게 첫눈에 반한 자크는 장이 집을 비운 사이 마르그리트를 찾아가 겁탈한다. 용서받지 못할 짓을 저지른 자크는 마르그리트에게 침묵을 강요하지만, 마르그리트는 자신이 입을 여는 순간 감내해야 할 불명예를 각오하고 용기를 내어 자크의 죄를 고발한다. 강간사건에 대한 재판이 시작되고, 서로의 입장이 맹렬히 충돌하면서 파열음을 낸다. 결국 한때 전우였던 장과 자크는 승리한 자가 무죄, 패한 자가 유죄가 되는 결투 재판에서 승부를 겨루게 되는데...",7.4 (161k)
10,알리타: 배틀 엔젤,"SF, 스릴러, 액션",(2019),모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하는데...,7.3 (274k)
11,소울,"코미디, 드라마, 판타지, 음악, SF, 애니메이션, 가족",(2020),"뉴욕에서 음악 선생님으로 일하던 조는 꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날, 예기치 못한 사고로 영혼이 되어 태어나기 전 세상에 떨어진다. 탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 태어나기 전 세상. 조는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 22의 멘토가 된다. 링컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 22, 꿈의 무대에 서려면 22의 지구 통행증이 필요한 조. 그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?",8.0 (337k)
12,포드 V 페라리,"드라마, 스포츠, 액션",(2019),"1960년대, 매출 감소에 빠진 포드는 판매 활로를 찾기 위해 페라리와의 인수 합병을 추진한다. 막대한 자금력에도 불구, 계약에 실패하고 엔초 페라리로부터 모욕까지 당한 헨리 포드 2세는 르망 24시간 레이스에서 페라리를 박살 낼 차를 만들 것을 지시한다. 지옥의 레이스로 불리는 르망 24시간 레이스. 출전 경험조차 없는 포드는 대회 6연패를 차지한 페라리에 대항하기 위해 르망 우승자 출신 자동차 디자이너 캐롤 셸비를 고용하고, 그는 누구와도 타협하지 않지만 열정과 실력만큼은 최고인 레이서 켄 마일스를 자신의 파트너로 영입하는데...",8.1 (356k)
13,Barbarian,"공포, 스릴러",(2022),"면접을 위해 디트로이트에 온 여성은 임대주택을 예약하지만 밤늦게 오니, 이중 예약으로, 이미 낯선 이가 있음을 알게 된다. 본의 아니게, 저녁을 보내기로 하지만, 곧 불청객보다 더 두려운 것이 많다는 걸 알게 된다.",7.0 (134k)
14,프리 가이,"코미디, 판타지, SF, 액션",(2021),"평범한 직장, 절친 그리고 한 잔의 커피. 평화로운 일상 속 때론 총격전과 날강도가 나타나는 버라이어티한 ‘프리시티’에 살고 있는 ‘가이’. 그에겐 뭐 하나 부족한 것이 없었다. 우연히 마주친 그녀에게 한눈에 반하기 전까지는… 갖은 노력 끝에 다시 만난 그녀는 ‘가이’가 비디오 게임 ‘프리시티’에 사는 배경 캐릭터이고, 이 세상은 곧 파괴될 거라 경고한다. 혼란에 빠진 ‘가이’ 그러나 그는 ‘프리시티’의 파괴를 막기 위해 더 이상 배경 캐릭터가 아닌, 히어로가 되기로 결심한다.",7.1 (379k)
15,웨어울프 바이 나이트,"공포, 드라마, 판타지, 스릴러, 액션, 코미디",(2022),"칠흑같이 어두운 밤, 비밀리에 활동하던 괴물 사냥꾼들이 어둠 밖으로 나온다. 그들은 불길한 기운을 풍기는 블러드스톤 사원에 모여, 기이하면서도 섬뜩한 방식으로 세상을 떠난 리더를 추모한다. 바로 강력한 유물을 놓고 벌이는 사냥꾼들 간의 목숨을 건 대결이었다. 그러나 유물을 놓고 싸우던 사냥꾼들 앞에 위험천만한 괴물이 나타난다.",7.8 (7k)
16,메이의 새빨간 비밀,"판타지, 코미디, 가족, 애니메이션",(2022),"엄마의 착한 딸, 아니면 미운 13살? 성적도 우수하고 친구들과 사이도 좋은 데다 부모와도 친밀한 관계를 유지하고 있는, 똑 부러지면서도 엉뚱한 매력의 소유자 메이는 요즘 질풍노도의 시기를 겪느라 고민이 많다. 이 나이에 엄마의 과잉보호를 받자니 스트레스가 이만저만이 아닌 데다, 관심사, 인간관계, 신체 등 그녀의 모든 것이 변하고 있기 때문. 그런데 이 와중에 흥분하면 거대한 레서판다로 변신하는 비밀까지 떠안게 되다니! 아침도 먹어야 하고 학교도 가야 하는데, 이 엄청난 비밀을 어떻게 숨겨야 할까?",7.0 (128k)
17,파이어 오브 러브,다큐멘터리,(2022),"카티아와 모리스 크라프트는 서로와 화산을 사랑했고, 분출하는 화산을 찾아 지구를 누비며 연구 내용을 기록했다. 1991년, 두 화산학자는 자연계에 관한 우리의 이해를 높이는 방대한 자료를 뒤로하고 사망했다. 본 다큐멘터리 영화는 그들이 남긴 기록을 바탕으로 사랑이라는 이유 때문에 미지의 세계를 모험한 두 과학자의 여정을 따라가며 생성과 소멸에 관해 이야기한다.",7.6 (8k)
18,웨스트 사이드 스토리,"드라마, 로맨스, 범죄",(2021),뉴욕 변두리를 장악한 제트파의 일원 `토니`(안셀 엘고트)는 어두운 과거를 뒤로하고 새로운 삶을 시작하려 한다. 제트파의 라이벌 샤크파의 리더 `베르나르도`의 동생 `마리아`(레이첼 지글러)는 고향인 푸에르토리코를 떠나 정착한 뉴욕에서 새로운 삶에 대한 희망에 부풀고 오빠의 그늘에서 벗어나 자신만의 인생을 찾고자 한다. 무도회에서 우연히 만나 첫눈에 사랑에 빠진 마리아와 토니. 하지만 뉴욕의 웨스트 사이드를 차지하기 위한 샤크파와 제트파의 갈등은 점차 깊어지고 `마리아`와 `토니`는 자신들의 환경을 벗어나 새로운 삶을 함께 하기로 하는데…,7.2 (85k)
19,Norman Lear: 100 Years of Music and Laughter,"다큐멘터리, 코미디, 역사",(2022),"The one-night-only celebration honoring the life and legacy of the famed producer features intimate conversations, special performances and surprise reunions that pay homage to the man behind some of television’s greatest stories in celebration of his 100th birthday.",7.9
20,오비완 케노비: 제다이가 돌아오다,다큐멘터리,(2022),"비하인드 신 메이킹 스페셜을 통해 오비완 케노비와 아나킨 스카이워커의 스크린 복귀와 원래 역할로 돌아온 이완 맥그리거와 헤이든 크리스텐슨에 대해 알아본다. 데버라 차우 감독은 큰 사랑을 받았던 스타워즈 캐릭터의 새 화신들과 함께 살아온 새로운 영웅, 악당들과 스타워즈의 대서사와 극적으로 연결되는 영웅담을 창조하며 출연진과 제작진을 이끈다.",7.2 (1k)
