,제목,장르,년도,줄거리,평점,연령 등급
0,에브리씽 에브리웨어 올앳원스,"액션, SF, 코미디, 판타지",(2022),"남편과 세탁소를 운영하며 근근히 살아가고 있는 이민자 이블린 왕. 20대 시절 남편과 순수한 사랑을 불태우며 모든 것을 뒤로 하고 미국으로 이민을 떠났지만, 50대가 된 지금은 세탁소 운영 등 온갖 일로 허덕이며 단란했던 가족과도 삐그덕거리는 등 고달프게 살고 있다. 세무조사를 받던 중 자신이 멀티버스의 여러 다른 자신들과 연결되어 있음을 알게 되고, 강력한 악의 기운으로부터 모든 우주와 가족을 구해내기 위한 모험에 나서게 되는데......",8.0 (350k),15
1,타이타닉,"드라마, 로맨스",(1997),17세기 엄격한 사회 질서에 숨막혀 하는 미국 상류층 로즈는 사교계의 굴레에서 벗어나지 못하는 어머니와 권위적인 재벌 귀족 약혼자와 함께 미국으로 향하는 타이타닉호 1등실에 승선한다. 부두의 선술집에서 도박으로 운 좋게 타이타닉호의 3등실 티켓을 얻은 가난한 화가 잭 역시 아슬아슬하게 배에 승선한다. 첫 눈에 로즈에게 반한 잭은 갑판에서 바다로 몸을 던지려 하는 로즈를 발견하고 재치 있는 언변과 행동으로 그녀의 생명을 구한다. 이 사건을 계기로 1등실의 저녁식사에 초대받게 되고 서로에게 끌리는 자신들을 발견한다.,7.9 (1m),15
2,더 메뉴,"스릴러, 공포, 코미디",(2022),"커플인 마고와 타일러는 까다롭기로 유명한 셰프, 슬로윅의 초청을 받아 어느 외딴섬 레스토랑의 저녁 식사에 참석하게 된다. 평소 슬로윅을 존경해왔던 타일러는 들뜬 마음으로 여러 유명인사들과 함께 섬으로 출발하는 배에 탑승한다. 레스토랑에 도착한 손님들은 슬로윅의 화려한 환대에 탄성을 자아낸다. 하지만 ‘음식은 또 다른 예술’이라는 슬로윅의 기괴한 집착에, 좋았던 분위기는 점차 이상한 방향으로 흐른다. 뭔가 심상치 않음을 감지한 마고는 이의를 제기하려 하지만, 이미 슬로윅의 음식에 푹 빠져버린 타일러에게 그녀의 제안은 안중에도 없다. 그런 와중에 슬로윅의 기괴한 집착은 점점 선을 넘기 시작하는데...",7.2 (258k),15
3,헤어질 결심,"범죄, 드라마, 로맨스, 스릴러",(2022),"산 정상에서 추락한 한 남자의 변사 사건. 담당 형사 해준은 사망자의 아내 서래와 마주하게 된다. 남편의 죽음 앞에서 특별한 동요를 보이지 않는 서래. 경찰은 보통의 유가족과는 다른 서래를 용의선상에 올린다. 해준은 사건 당일의 알리바이 탐문과 신문, 잠복수사를 통해 서래를 알아가면서 그녀에 대한 관심이 점점 커져가는 것을 느낀다. 한편 좀처럼 속을 짐작하기 어려운 서래는 상대가 자신을 의심한다는 것을 알면서도 조금의 망설임도 없이 해준을 대하는데...",7.3 (36k),15
4,범죄도시 2,"범죄, 액션, 스릴러",(2022),"가리봉동 소탕작전으로부터 4년이 지난 2008년, 금천경찰서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다. 그렇게 현지를 물색하던 마석도와 전일만은 용의자에게 미심쩍음을 느껴 추궁한 끝에, 악랄한 강해상의 존재를 알게 된다. 두 형사는 수사권이 없는 상황에도 한국과 베트남을 오가며 역대급 범죄를 저지르는 그를 잡겠다는 일념 하나로 호찌민 이곳저곳을 거침없이 누빈다.",7.0 (6k),15
5,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","드라마, 로맨스",(2022),"""카미야 토루에 대해 잊지 말 것” 자고 일어나면 전날의 기억을 잃는 ‘선행성 기억상실증’에 걸린 소녀 ‘마오리’ “내일의 마오리도 내가 즐겁게 해줄 거야” 누구에게도 기억되지 않는 무색무취의 평범한 소년 ‘토루’ 매일 밤 사랑이 사라지는 세계. 그럼에도 불구하고, 다음 날 서로를 향한 애틋한 고백을 반복하는 두 소년, 소녀의 가장 슬픈 청춘담",7.0,12+
6,가재가 노래하는 곳,"드라마, 스릴러, 로맨스",(2022),"어렸을 때 가족에게 버림받고 자연만이 유일한 친구였던 카야. 그녀가 세상과 단절된 채 성장하는 가운데, 테이트가 그녀의 마음을 두드린다. 하지만 그가 떠난 뒤, 밀려오는 외로움 속, 체이스가 그녀에게 적극적인 고백을 하고, 마음이 흔들리기 시작한다. 그러던 어느 날, 체이스는 습지에서 추락사로 싸늘한 시체로 발견되고 카야는 유력한 용의자가 되어 법정에 서게 되는데… 그녀의 비밀이 숨겨져 있는 가재가 노래하는 곳.",7.2 (85k),15
7,여인의 향기,드라마,(1992),"맹인 퇴역장교 프랭크(알 파치노)는 무의미한 인생을 견디지 못해 화려한 자살여행을 떠나려 한다. 모범생 찰리(크리스 오도넬)는 우연히 프랭크를 돌보는 아르바이트를 하게 되고, 어쩌다 프랭크의 여행에 동행하게 된다. 프랭크는 앞이 보이지 않지만 향기만으로 여인의 모든 것을 맞추며 한 식당에서 처음 만난 아가씨와 멋지게 탱고를 추기도 한다. 또한 프랭크는 맹인임에도 불구하고 일생에 한 번 타 볼까말까한 페라리를 직접 몰아 그의 뛰어난 감각을 보여준다. 그러나 찰리는 이 모든 것이 그가 삶에 의욕이 없고 죽음을 생각하고 있기 때문임을 알게 된다. 찰리는 그런 프랭크에게 삶의 의미를 찾아주고자 한다. 찰리와의 여행에서 프랭크는 찰리의 따뜻한 마음과 용기에 힘을 얻는다. 여행을 끝내고 돌아가기 전 프랭크는 찰리의 학교로 간다. 그러나 찰리와 학교 재정 후원자의 아들인 조지는 교장이 이사회로부터 받은 차에 장난을 치다가 들켜 곤란한 상황에 처해있는데...",8.0 (303k),15
8,살인의 추억,"드라마, 스릴러, 범죄, 액션",(2003),"1986년 경기도. 젊은 여인이 무참히 강간, 살해당한 시체로 발견된다. 2개월 후 비슷한 수법의 강간살인사건이 연이어 발생하면서 사건은 세간의 주목을 받기 시작하고, 일대는 연쇄살인이라는 생소한 범죄의 공포에 휩싸인다. 사건 발생 지역에 특별수사본부가 설치되고, 수사본부는 구희봉 반장을 필두로 지역토박이 형사 박두만과 조용구, 그리고 서울 시경에서 자원해 온 서태윤이 배치된다. 육감과 폭력으로 수사를 진행하는 박형사와 증거와 과학수사를 추구하는 서형사는 수사 내내 마찰을 일으키는데...",8.1 (190k),15
9,세레니티,"액션, 스릴러, SF",(2005),"지금으로부터 500년후의 미래. 은하계 내전의 참전군인 출신인 말콤 레이놀즈 선장은 자신의 우주선 세레니티 호와 충성심에 가득찬 부하들을 데리고 돈되는 일이라면 무엇이든 하는 해결사로서 생활한다. 어느날 레이놀즈 일행은 젊은 의사 사이먼과 그의 여동생 리버를 탑승객으로 태우게 되는데, 둘은 우주연합으로부터 도망치는 중이다. 세레니티 일행들은 곧 초능력을 가진 리버가 엄청난 비밀을 가지고 있으며, 따라서 이 둘을 탑승시킨 것이 위험천만한 일임을 깨닫게 되는데...",7.8 (298k),15
